总编号,是否循环,位置参数1,图片索引,滞留时间,列1,列2,行1,行2,文件编号,未知参数2,文件路径
211,0,0,0,10,0.000,0.195,0.391,0.586,0,17,UI\UIP5\Clothes1@
212,0,0,0,10,0.195,0.391,0.391,0.586,0,17,UI\UIP5\Clothes1@
213,0,0,0,10,0.391,0.586,0.391,0.586,0,17,UI\UIP5\Clothes1@
214,0,0,0,10,0.586,0.781,0.391,0.586,0,17,UI\UIP5\Clothes1@
215,0,0,0,10,0.781,0.977,0.391,0.586,0,17,UI\UIP5\Clothes1@
216,0,0,0,10,0.000,0.195,0.586,0.781,0,17,UI\UIP5\Clothes1@
217,0,0,0,10,0.195,0.391,0.586,0.781,0,17,UI\UIP5\Clothes1@
218,0,0,0,10,0.391,0.586,0.586,0.781,0,17,UI\UIP5\Clothes1@
219,0,0,0,10,0.586,0.781,0.586,0.781,0,17,UI\UIP5\Clothes1@
220,0,0,0,10,0.781,0.977,0.586,0.781,0,17,UI\UIP5\Clothes1@
221,0,0,0,10,0.000,0.195,0.781,0.977,0,17,UI\UIP5\Clothes1@
222,0,0,0,10,0.195,0.391,0.781,0.977,0,17,UI\UIP5\Clothes1@
223,0,0,0,10,0.391,0.586,0.781,0.977,0,17,UI\UIP5\Clothes1@
224,0,0,0,10,0.586,0.781,0.781,0.977,0,17,UI\UIP5\Clothes1@
225,0,0,0,10,0.781,0.977,0.781,0.977,0,17,UI\UIP5\Clothes1@
226,0,0,0,10,0.000,0.195,0.000,0.195,0,17,UI\UIP5\Clothes2@
227,0,0,0,10,0.195,0.391,0.000,0.195,0,17,UI\UIP5\Clothes2@
228,0,0,0,10,0.391,0.586,0.000,0.195,0,17,UI\UIP5\Clothes2@
229,0,0,0,10,0.586,0.781,0.000,0.195,0,17,UI\UIP5\Clothes2@
230,0,0,0,10,0.781,0.977,0.000,0.195,0,17,UI\UIP5\Clothes2@
231,0,0,0,10,0.000,0.195,0.195,0.391,0,17,UI\UIP5\Clothes2@
232,0,0,0,10,0.195,0.391,0.195,0.391,0,17,UI\UIP5\Clothes2@
233,0,0,0,10,0.391,0.586,0.195,0.391,0,17,UI\UIP5\Clothes2@
234,0,0,0,10,0.586,0.781,0.195,0.391,0,17,UI\UIP5\Clothes2@
235,0,0,0,10,0.781,0.977,0.195,0.391,0,17,UI\UIP5\Clothes2@
236,0,0,0,10,0.000,0.195,0.391,0.586,0,17,UI\UIP5\Clothes2@
237,0,0,0,10,0.195,0.391,0.391,0.586,0,17,UI\UIP5\Clothes2@
301,0,0,0,10,0.391,0.586,0.391,0.586,0,16,UI\UIP5\Weapon1@
302,0,0,0,10,0.195,0.391,0.195,0.391,0,16,UI\UIP5\Weapon1@
303,0,0,0,10,0.195,0.391,0.000,0.195,0,16,UI\UIP5\Weapon1@
304,0,0,0,10,0.586,0.781,0.195,0.391,0,16,UI\UIP5\Weapon1@
305,0,0,0,10,0.781,0.977,0.391,0.586,0,16,UI\UIP5\Weapon1@
306,0,0,0,10,0.586,0.781,0.391,0.586,0,16,UI\UIP5\Weapon1@
307,0,0,0,10,0.391,0.586,0.000,0.195,0,16,UI\UIP5\Weapon1@
308,0,0,0,10,0.195,0.391,0.391,0.586,0,16,UI\UIP5\Weapon1@
309,0,0,0,10,0.000,0.195,0.391,0.586,0,16,UI\UIP5\Weapon1@
310,0,0,0,10,0.781,0.977,0.000,0.195,0,16,UI\UIP5\Weapon1@
311,0,0,0,10,0.586,0.781,0.000,0.195,0,16,UI\UIP5\Weapon1@
312,0,0,0,10,0.000,0.195,0.000,0.195,0,16,UI\UIP5\Weapon1@
313,0,0,0,10,0.000,0.195,0.586,0.781,0,16,UI\UIP5\Weapon1@
314,0,0,0,10,0.391,0.586,0.195,0.391,0,16,UI\UIP5\Weapon1@
315,0,0,0,10,0.391,0.586,0.586,0.781,0,16,UI\UIP5\Weapon1@
316,0,0,0,10,0.586,0.781,0.586,0.781,0,16,UI\UIP5\Weapon1@
317,0,0,0,10,0.000,0.195,0.195,0.391,0,16,UI\UIP5\Weapon1@
318,0,0,0,10,0.781,0.977,0.195,0.391,0,16,UI\UIP5\Weapon1@
319,0,0,0,10,0.195,0.391,0.586,0.781,0,16,UI\UIP5\Weapon1@
320,0,0,0,10,0.195,0.391,0.781,0.977,0,16,UI\UIP5\Weapon1@
321,0,0,0,10,0.000,0.195,0.000,0.195,0,16,UI\UIP5\Weapon2@
322,0,0,0,10,0.781,0.977,0.000,0.195,0,16,UI\UIP5\Weapon2@
323,0,0,0,10,0.000,0.195,0.781,0.977,0,16,UI\UIP5\Weapon1@
324,0,0,0,10,0.781,0.977,0.781,0.977,0,16,UI\UIP5\Weapon1@
325,0,0,0,10,0.391,0.586,0.195,0.391,0,16,UI\UIP5\Weapon2@
326,0,0,0,10,0.391,0.586,0.781,0.977,0,16,UI\UIP5\Weapon1@
327,0,0,0,10,0.000,0.195,0.195,0.391,0,16,UI\UIP5\Weapon2@
328,0,0,0,10,0.781,0.977,0.586,0.781,0,16,UI\UIP5\Weapon1@
329,0,0,0,10,0.391,0.586,0.000,0.195,0,16,UI\UIP5\Weapon2@
330,1,0,0,10,0.586,0.781,0.781,0.977,0,16,UI\UIP5\Weapon1@
331,0,0,0,10,0.195,0.391,0.000,0.195,0,16,UI\UIP5\Weapon2@
332,0,0,0,10,0.195,0.391,0.195,0.391,0,16,UI\UIP5\Weapon2@
333,0,0,0,10,0.586,0.781,0.000,0.195,0,16,UI\UIP5\Weapon2@
334,0,0,0,10,0.391,0.586,0.781,0.977,0,16,UI\UIP5\Weapon2@
335,0,0,0,10,0.195,0.391,0.781,0.977,0,16,UI\UIP5\Weapon2@
336,0,0,0,10,0.586,0.781,0.781,0.977,0,16,UI\UIP5\Weapon2@
337,0,0,0,10,0.781,0.977,0.781,0.977,0,16,UI\UIP5\Weapon2@
338,0,0,0,10,0.391,0.586,0.000,0.195,0,16,UI\UIP5\Weapon3@
339,0,0,0,10,0.195,0.391,0.000,0.195,0,16,UI\UIP5\Weapon3@
340,0,0,0,10,0.391,0.586,0.195,0.391,0,16,UI\UIP5\Weapon3@
341,0,0,0,10,0.000,0.195,0.000,0.195,0,16,UI\UIP5\Weapon3@
342,0,0,0,10,0.195,0.391,0.195,0.391,0,16,UI\UIP5\Weapon3@
343,0,0,0,10,0.586,0.781,0.000,0.195,0,16,UI\UIP5\Weapon3@
344,0,0,0,10,0.586,0.781,0.195,0.391,0,16,UI\UIP5\Weapon3@
345,0,0,0,10,0.000,0.195,0.195,0.391,0,16,UI\UIP5\Weapon3@
346,0,0,0,10,0.781,0.977,0.000,0.195,0,16,UI\UIP5\Weapon3@
347,0,0,0,10,0.000,0.195,0.586,0.781,0,16,UI\UIP5\Weapon2@
348,0,0,0,10,0.000,0.195,0.781,0.977,0,16,UI\UIP5\Weapon2@
349,0,0,0,10,0.000,0.195,0.391,0.586,0,16,UI\UIP5\Weapon2@
350,0,0,0,10,0.586,0.781,0.391,0.586,0,16,UI\UIP5\Weapon2@
351,0,0,0,10,0.586,0.781,0.586,0.781,0,16,UI\UIP5\Weapon2@
352,0,0,0,10,0.195,0.391,0.586,0.781,0,16,UI\UIP5\Weapon2@
353,0,0,0,10,0.391,0.586,0.391,0.586,0,16,UI\UIP5\Weapon2@
354,0,0,0,10,0.781,0.977,0.195,0.391,0,16,UI\UIP5\Weapon2@
355,0,0,0,10,0.195,0.391,0.391,0.586,0,16,UI\UIP5\Weapon2@
356,0,0,0,10,0.586,0.781,0.195,0.391,0,16,UI\UIP5\Weapon2@
357,0,0,0,10,0.781,0.977,0.586,0.781,0,16,UI\UIP5\Weapon2@
358,0,0,0,10,0.781,0.977,0.391,0.586,0,16,UI\UIP5\Weapon2@
359,0,0,0,10,0.391,0.586,0.586,0.781,0,16,UI\UIP5\Weapon2@
360,0,0,0,10,0.781,0.977,0.195,0.391,0,16,UI\UIP5\Weapon3@
361,0,0,0,10,0.000,0.195,0.391,0.586,0,16,UI\UIP5\Weapon3@
362,0,0,0,10,0.195,0.391,0.391,0.586,0,16,UI\UIP5\Weapon3@
363,0,0,0,10,0.391,0.586,0.391,0.586,0,16,UI\UIP5\Weapon3@
401,0,0,0,10,0.000,0.195,0.000,0.195,0,18,UI\UIP5\Talisman1@
402,0,0,0,10,0.195,0.391,0.000,0.195,0,18,UI\UIP5\Talisman1@
403,0,0,0,10,0.391,0.586,0.000,0.195,0,18,UI\UIP5\Talisman1@
404,0,0,0,10,0.586,0.781,0.000,0.195,0,18,UI\UIP5\Talisman1@
405,0,0,0,10,0.781,0.977,0.000,0.195,0,18,UI\UIP5\Talisman1@
406,0,0,0,10,0.000,0.195,0.195,0.391,0,18,UI\UIP5\Talisman1@
407,0,0,0,10,0.195,0.391,0.195,0.391,0,18,UI\UIP5\Talisman1@
408,0,0,0,10,0.391,0.586,0.195,0.391,0,18,UI\UIP5\Talisman1@
409,0,0,0,10,0.586,0.781,0.195,0.391,0,18,UI\UIP5\Talisman1@
410,0,0,0,10,0.781,0.977,0.195,0.391,0,18,UI\UIP5\Talisman1@
411,0,0,0,10,0.000,0.195,0.391,0.586,0,18,UI\UIP5\Talisman1@
412,0,0,0,10,0.195,0.391,0.391,0.586,0,18,UI\UIP5\Talisman1@
413,0,0,0,10,0.391,0.586,0.391,0.586,0,18,UI\UIP5\Talisman1@
414,0,0,0,10,0.586,0.781,0.391,0.586,0,18,UI\UIP5\Talisman1@
415,0,0,0,10,0.781,0.977,0.391,0.586,0,18,UI\UIP5\Talisman1@
416,0,0,0,10,0.000,0.195,0.586,0.781,0,18,UI\UIP5\Talisman1@
417,0,0,0,10,0.195,0.391,0.586,0.781,0,18,UI\UIP5\Talisman1@
418,0,0,0,10,0.391,0.586,0.586,0.781,0,18,UI\UIP5\Talisman1@
419,0,0,0,10,0.586,0.781,0.586,0.781,0,18,UI\UIP5\Talisman1@
420,0,0,0,10,0.781,0.977,0.586,0.781,0,18,UI\UIP5\Talisman1@
421,0,0,0,10,0.000,0.195,0.781,0.977,0,18,UI\UIP5\Talisman1@
422,0,0,0,10,0.195,0.391,0.781,0.977,0,18,UI\UIP5\Talisman1@
423,0,0,0,10,0.391,0.586,0.781,0.977,0,18,UI\UIP5\Talisman1@
424,0,0,0,10,0.586,0.781,0.781,0.977,0,18,UI\UIP5\Talisman1@
425,0,0,0,10,0.781,0.977,0.781,0.977,0,18,UI\UIP5\Talisman1@
426,0,0,0,10,0.000,0.391,0.000,0.781,0,18,UI\UIP5\Talisman2@
427,0,0,0,10,0.391,0.781,0.000,0.781,0,18,UI\UIP5\Talisman2@
1000,0,0,0,10,0.000,1.000,0.000,1.000,0,9,测试\箭头
1001,0,0,0,10,0.000,0.049,0.879,0.928,0,11,UI\UIP5\ZD@
1002,0,0,0,10,0.000,0.049,0.879,0.928,0,11,UI\UIP5\ZD@
1010,0,0,0,10,0.176,0.205,0.488,0.518,0,13,UI\UIP5\zdpt@
1011,0,0,0,10,0.029,0.059,0.488,0.518,0,13,UI\UIP5\zdpt@
1012,0,0,0,10,0.264,0.293,0.488,0.518,0,13,UI\UIP5\zdpt@
1013,0,0,0,10,0.000,0.029,0.518,0.547,0,13,UI\UIP5\zdpt@
1014,0,0,0,10,0.205,0.234,0.488,0.518,0,13,UI\UIP5\zdpt@
1015,0,0,0,10,0.146,0.176,0.488,0.518,0,13,UI\UIP5\zdpt@
1016,0,0,0,10,0.117,0.146,0.488,0.518,0,13,UI\UIP5\zdpt@
1017,0,0,0,10,0.059,0.088,0.518,0.547,0,13,UI\UIP5\zdpt@
1018,0,0,0,10,0.088,0.117,0.518,0.547,0,13,UI\UIP5\zdpt@
1019,0,0,0,10,0.059,0.088,0.488,0.518,0,13,UI\UIP5\zdpt@
1020,0,0,0,10,0.000,0.029,0.488,0.518,0,13,UI\UIP5\zdpt@
1021,0,0,0,10,0.029,0.059,0.518,0.547,0,13,UI\UIP5\zdpt@
1022,0,0,0,10,0.088,0.117,0.488,0.518,0,13,UI\UIP5\zdpt@
1023,0,0,0,10,0.234,0.264,0.488,0.518,0,13,UI\UIP5\zdpt@
1024,0,0,0,10,0.000,1.000,0.000,1.000,0,13,测试\冻结贴图
1025,0,0,0,10,0.000,0.268,0.000,0.330,0,13,UI\UIP5\zdpt@
1026,0,0,0,10,0.000,0.293,0.000,0.293,0,11,UI\UIP5\ZD@
1027,0,0,0,10,0.000,0.605,0.566,0.630,0,12,UI\UIP5\ZD1@
1028,0,0,0,10,0.293,0.324,0.361,0.393,0,13,UI\UIP5\zdpt@
1029,0,0,0,10,0.293,0.324,0.393,0.424,0,13,UI\UIP5\zdpt@
1030,0,0,0,10,0.293,0.324,0.424,0.455,0,13,UI\UIP5\zdpt@
1031,0,0,0,10,0.327,0.423,0.361,0.378,0,13,UI\UIP5\zdpt@
1032,0,0,0,10,0.327,0.423,0.379,0.396,0,13,UI\UIP5\zdpt@
1033,0,0,0,10,0.327,0.423,0.396,0.413,0,13,UI\UIP5\zdpt@
1034,0,0,0,10,0.327,0.423,0.414,0.431,0,13,UI\UIP5\zdpt@
1035,0,0,0,10,0.293,0.389,0.098,0.195,0,11,UI\UIP5\ZD@
1036,0,0,0,10,0.389,0.484,0.098,0.195,0,11,UI\UIP5\ZD@
1037,0,0,0,10,0.484,0.580,0.098,0.195,0,11,UI\UIP5\ZD@
1038,0,0,0,10,0.580,0.676,0.098,0.195,0,11,UI\UIP5\ZD@
1039,0,0,0,10,0.000,0.096,0.537,0.635,0,11,UI\UIP5\ZD@
1040,0,0,0,10,0.096,0.191,0.537,0.635,0,11,UI\UIP5\ZD@
1041,0,0,0,10,0.191,0.287,0.537,0.635,0,11,UI\UIP5\ZD@
1042,0,0,0,10,0.287,0.383,0.537,0.635,0,11,UI\UIP5\ZD@
1043,0,0,0,10,0.799,0.895,0.000,0.098,0,11,UI\UIP5\ZD@
1044,0,0,0,10,0.799,0.895,0.098,0.195,0,11,UI\UIP5\ZD@
1045,0,0,0,10,0.799,0.895,0.195,0.293,0,11,UI\UIP5\ZD@
1046,0,0,0,10,0.799,0.895,0.293,0.391,0,11,UI\UIP5\ZD@
1047,0,0,0,10,0.703,0.799,0.000,0.098,0,11,UI\UIP5\ZD@
1048,0,0,0,10,0.703,0.799,0.098,0.195,0,11,UI\UIP5\ZD@
1049,0,0,0,10,0.703,0.799,0.195,0.293,0,11,UI\UIP5\ZD@
1050,0,0,0,10,0.703,0.799,0.293,0.391,0,11,UI\UIP5\ZD@
1051,0,0,0,10,0.895,0.990,0.000,0.098,0,11,UI\UIP5\ZD@
1052,0,0,0,10,0.895,0.990,0.098,0.195,0,11,UI\UIP5\ZD@
1053,0,0,0,10,0.895,0.990,0.195,0.293,0,11,UI\UIP5\ZD@
1054,0,0,0,10,0.895,0.990,0.293,0.391,0,11,UI\UIP5\ZD@
1055,0,0,0,10,0.293,0.389,0.293,0.391,0,11,UI\UIP5\ZD@
1056,0,0,0,10,0.389,0.484,0.293,0.391,0,11,UI\UIP5\ZD@
1057,0,0,0,10,0.484,0.580,0.293,0.391,0,11,UI\UIP5\ZD@
1058,0,0,0,10,0.580,0.676,0.293,0.391,0,11,UI\UIP5\ZD@
1059,0,0,0,10,0.660,0.671,0.744,0.758,0,21,UI\Pal5Mod\DialogBox@
1060,0,0,0,10,0.671,0.682,0.744,0.758,0,21,UI\Pal5Mod\DialogBox@
1061,0,0,0,10,0.682,0.692,0.744,0.758,0,21,UI\Pal5Mod\DialogBox@
1062,0,0,0,10,0.692,0.703,0.744,0.758,0,21,UI\Pal5Mod\DialogBox@
1063,0,0,0,10,0.703,0.714,0.744,0.758,0,21,UI\Pal5Mod\DialogBox@
1064,0,0,0,10,0.714,0.725,0.744,0.758,0,21,UI\Pal5Mod\DialogBox@
1065,0,0,0,10,0.725,0.735,0.744,0.758,0,21,UI\Pal5Mod\DialogBox@
1066,0,0,0,10,0.735,0.746,0.744,0.758,0,21,UI\Pal5Mod\DialogBox@
1067,0,0,0,10,0.746,0.757,0.744,0.758,0,21,UI\Pal5Mod\DialogBox@
1068,0,0,0,10,0.757,0.768,0.744,0.758,0,21,UI\Pal5Mod\DialogBox@
1069,0,0,0,10,0.000,0.096,0.439,0.535,0,11,UI\UIP5\ZD@
1070,0,0,0,10,0.096,0.191,0.439,0.535,0,11,UI\UIP5\ZD@
1071,0,0,0,10,0.191,0.287,0.439,0.535,0,11,UI\UIP5\ZD@
1072,0,0,0,10,0.287,0.383,0.439,0.535,0,11,UI\UIP5\ZD@
1073,0,0,0,10,0.293,0.389,0.195,0.293,0,11,UI\UIP5\ZD@
1074,0,0,0,10,0.389,0.484,0.195,0.293,0,11,UI\UIP5\ZD@
1075,0,0,0,10,0.484,0.580,0.195,0.293,0,11,UI\UIP5\ZD@
1076,0,0,0,10,0.580,0.676,0.195,0.293,0,11,UI\UIP5\ZD@
1077,0,0,0,10,0.041,0.082,0.656,0.738,0,19,UI\UIP5\ZDtouxiang@
1078,0,0,0,10,0.082,0.123,0.656,0.738,0,19,UI\UIP5\ZDtouxiang@
1079,0,0,0,10,0.123,0.164,0.656,0.738,0,19,UI\UIP5\ZDtouxiang@
1080,0,0,0,10,0.000,0.041,0.656,0.738,0,19,UI\UIP5\ZDtouxiang@
1081,0,0,0,10,0.172,0.215,0.586,0.641,0,13,UI\UIP5\zdpt@
1082,0,0,0,10,0.402,0.434,0.554,0.585,0,13,UI\UIP5\zdpt@
1083,0,0,0,10,0.434,0.465,0.554,0.585,0,13,UI\UIP5\zdpt@
1084,0,0,0,10,0.465,0.496,0.554,0.585,0,13,UI\UIP5\zdpt@
1085,0,0,0,10,0.306,0.465,0.491,0.568,0,13,UI\UIP5\zdpt@
1086,0,0,0,10,0.133,0.231,0.654,0.665,0,13,UI\UIP5\zdpt@
1087,0,0,0,10,0.133,0.231,0.669,0.680,0,13,UI\UIP5\zdpt@
1088,0,0,0,10,0.000,0.625,0.513,0.586,0,13,UI\UIP5\djbj@
1089,0,0,0,10,0.000,0.371,0.000,0.527,0,12,UI\UIP5\ZD1@
1090,0,0,0,10,0.495,0.721,0.000,0.356,0,15,UI\Pal5Mod\SML@
1091,0,0,0,10,0.014,0.381,0.854,0.908,0,13,UI\UIP5\lhhc@
1092,0,0,0,10,0.137,0.205,0.762,0.859,0,11,UI\UIP5\ZD@
1093,0,0,0,10,0.205,0.273,0.762,0.859,0,11,UI\UIP5\ZD@
1094,0,0,0,10,0.273,0.342,0.762,0.859,0,11,UI\UIP5\ZD@
1095,0,0,0,10,0.342,0.410,0.762,0.859,0,11,UI\UIP5\ZD@
1096,0,0,0,10,0.000,0.068,0.762,0.859,0,11,UI\UIP5\ZD@
1097,0,0,0,10,0.068,0.137,0.762,0.859,0,11,UI\UIP5\ZD@
1098,0,0,0,10,0.645,0.698,0.049,0.098,0,13,UI\UIP5\mlpt@
1099,0,0,0,10,0.698,0.752,0.049,0.098,0,13,UI\UIP5\mlpt@
1100,0,0,0,10,0.752,0.806,0.049,0.098,0,13,UI\UIP5\mlpt@
1101,0,0,0,10,0.806,0.859,0.049,0.098,0,13,UI\UIP5\mlpt@
1102,0,0,0,10,0.820,0.884,0.684,0.747,0,11,UI\UIP5\ZD@
1103,0,0,0,10,0.820,0.884,0.747,0.811,0,11,UI\UIP5\ZD@
1104,0,0,0,10,0.820,0.884,0.557,0.620,0,11,UI\UIP5\ZD@
1105,0,0,0,10,0.820,0.884,0.620,0.684,0,11,UI\UIP5\ZD@
1106,0,0,0,10,0.820,0.884,0.811,0.874,0,11,UI\UIP5\ZD@
1107,0,0,0,10,0.820,0.884,0.874,0.938,0,11,UI\UIP5\ZD@
1108,0,0,0,10,0.895,0.958,0.557,0.620,0,11,UI\UIP5\ZD@
1109,0,0,0,10,0.895,0.958,0.620,0.684,0,11,UI\UIP5\ZD@
1110,0,0,0,10,0.895,0.958,0.684,0.747,0,11,UI\UIP5\ZD@
1111,0,0,0,10,0.895,0.958,0.747,0.811,0,11,UI\UIP5\ZD@
1112,0,0,0,10,0.820,0.884,0.430,0.493,0,11,UI\UIP5\ZD@
1113,0,0,0,10,0.820,0.884,0.493,0.557,0,11,UI\UIP5\ZD@
1114,0,0,0,10,0.895,0.958,0.430,0.493,0,11,UI\UIP5\ZD@
1115,0,0,0,10,0.895,0.958,0.493,0.557,0,11,UI\UIP5\ZD@
1116,0,0,0,400,0.615,0.654,0.566,0.601,0,12,UI\UIP5\ZD1@
1116,0,0,1,400,0.654,0.693,0.566,0.601,0,12,UI\UIP5\ZD1@
1117,0,0,0,10,0.293,0.389,0.000,0.098,0,11,UI\UIP5\ZD@
1119,0,0,0,10,0.389,0.484,0.000,0.098,0,11,UI\UIP5\ZD@
1120,0,0,0,10,0.484,0.580,0.000,0.098,0,11,UI\UIP5\ZD@
1121,0,0,0,10,0.580,0.676,0.000,0.098,0,11,UI\UIP5\ZD@
1122,0,0,0,10,0.365,0.734,0.617,0.813,0,13,UI\UIP5\zdpt@
1123,0,0,0,10,0.513,0.731,0.341,0.563,0,13,UI\UIP5\zdpt@
1124,0,0,0,10,0.733,0.892,0.363,0.521,0,13,UI\UIP5\zdpt@
1125,0,0,0,10,0.527,0.586,0.938,0.996,0,13,UI\UIP5\zdpt@
